fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
70,Broadcom,@broadcom,2064334633739677818,Tue Jun 09 13:11:44 +0000 2026,"Enterprise IT has reached an AI tipping point. Cost, complexity, and control are driving cloud strategy, as security concerns around AI mount and public cloud waste reaches a critical threshold.

See the findings from our new Private Cloud Outlook 2026: https://t.co/zsKc08ocpF https://t.co/YDBGfRw6uB",https://x.com/broadcom/status/2064334633739677818,0,0,10,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2064049898098499951,Mon Jun 08 18:20:18 +0000 2026,AI-driven threats are accelerating the need for faster remediation. Broadcom is expanding Spring and Java ecosystem investments with Day Zero access to validated patches and AI-assisted scanning to reduce software supply chain risk. Today's press release: https://t.co/eaHIO62abk https://t.co/E7phmaq9dw,https://x.com/broadcom/status/2064049898098499951,0,7,16,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2063161239493038278,Sat Jun 06 07:29:05 +0000 2026,"How do we build networks capable of handling the massive scale of Gen AI?

Join Broadcom's Hasan Siraj at Bloomberg's ""Generative AI: Scaling Across Industries"" event featuring insights alongside colleagues from @HPE and @MarvellTech
.

Details: https://t.co/5MEilsf5Q6 https://t.co/1FJvCJ5jMH",https://x.com/broadcom/status/2063161239493038278,1,2,8,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2062562301455085598,Thu Jun 04 15:49:07 +0000 2026,"As the U.S. defense industry moves toward delivering the Golden Dome vision, Broadcom’s selection for the Missile Defense Agency (MDA) SHIELD IDIQ program reinforces the role VMware Cloud Foundation plays in modern software-defined C2 infrastructure. https://t.co/KdJUmgHU0e https://t.co/RxS9sWdIW8",https://x.com/broadcom/status/2062562301455085598,7,0,11,1,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2061787753713476020,Tue Jun 02 12:31:21 +0000 2026,"Last week, Broadcom joined UCLA, GlobalFoundries, Meta, and Synopsys to launch the Semiconductor Hub at @UCLAengineering. The Hub will advance semiconductor research, workforce development, and AI-powered chip technologies. 

Learn more: https://t.co/rJ5OQ1CaPy https://t.co/G1LOmS89i8",https://x.com/broadcom/status/2061787753713476020,3,3,16,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2061591158141153500,Mon Jun 01 23:30:09 +0000 2026,"We are defining the framework for the intelligent home. By combining 50G PON capacity with the predictable performance of Wi-Fi 8, Broadcom is creating the intelligent edge to run smart services securely with low latency.

Vijay Nagarajan shares more: https://t.co/mmuGrXJaEO https://t.co/hAp4XvJT4U",https://x.com/broadcom/status/2061591158141153500,0,0,11,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2060328827134296571,Fri May 29 11:54:06 +0000 2026,"European organisations need sovereignty and control. Broadcom partner Axians uses @VMware Cloud Foundation to help global enterprises manage complex clouds while enabling resilience and 24/7 stability. 

Read more:  https://t.co/v3jvkTlqR5 https://t.co/Y8AwFhSa9p",https://x.com/broadcom/status/2060328827134296571,1,0,11,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2059696916980527487,Wed May 27 18:03:06 +0000 2026,"Broadcom and @Samsung Electronics are partnering to redefine the global Fixed Wireless Access (FWA) market. Combining the Samsung B1320 5G modem and Broadcom BCM6776 Wi-Fi 8 SoC, it cuts active power consumption by 50% and lowers BOM costs.  

Learn more: https://t.co/SdiYYd4kZX https://t.co/KDolFIaWFn",https://x.com/broadcom/status/2059696916980527487,0,1,23,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2059648684871008357,Wed May 27 14:51:27 +0000 2026,"We expanded our Wi-Fi 8 portfolio w/ three integrated chips designed to enable the next gen of residential connectivity. 

By placing multiple components onto a single die, we help partners deliver affordable, reliable, &amp; power-efficient home routers.  https://t.co/MMej5SBYqK https://t.co/oEqIru7KVo",https://x.com/broadcom/status/2059648684871008357,0,1,22,1,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2059287034527711240,Tue May 26 14:54:23 +0000 2026,"Broadcom launched the BCM68850, a 50G home gateway chip with an integrated NPU and Wi-Fi 8. It lowers operator OpEx through self-healing tools and protects data privacy on-premises. 

Explore our Edge AI portfolio: https://t.co/nJ2a3CiG7i https://t.co/Crtp7Shzbe",https://x.com/broadcom/status/2059287034527711240,1,4,22,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2059003795678376346,Mon May 25 20:08:53 +0000 2026,"RT @VMware: The Bahamas partnered with @CloudCarib and @Broadcom to build a sovereign private cloud, powered by VCF. Their high-availabilit…",https://x.com/broadcom/status/2059003795678376346,0,2,0,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2058858933079445860,Mon May 25 10:33:16 +0000 2026,"Broadcom is working hand-in-hand with European cloud service providers to deliver uncompromising data protection and control. 

Learn more at https://t.co/mjnHLNrGzM https://t.co/f9YvIz9LFF",https://x.com/broadcom/status/2058858933079445860,1,1,21,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2057953021674348570,Fri May 22 22:33:29 +0000 2026,"The Bahamas partnered with @CloudCarib and @Broadcom to build a sovereign private cloud, powered by VCF. Their high-availability approach secured 100% uptime through a decade of Category 5 hurricanes. See the story: https://t.co/m7Lm2wqyux https://t.co/dpjxEKyTHK",https://x.com/broadcom/status/2057953021674348570,1,2,9,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2057574735987331163,Thu May 21 21:30:19 +0000 2026,"RT @UCLAengineering: .@UCLA Samueli has launched a $125 million Semiconductor Hub with @Broadcom, @Applied4Tech, @GlobalFoundries, @Meta an…",https://x.com/broadcom/status/2057574735987331163,0,3,0,0,false,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
70,Broadcom,@broadcom,2057573069586153826,Thu May 21 21:23:42 +0000 2026,".@UCLA Samueli has launched a $125 million Semiconductor Hub with @Broadcom, @Applied4Tech, @GlobalFoundries, @Meta and @Synopsys to accelerate research and workforce development in artificial intelligence-powered chip technologies. @UofCalifornia https://t.co/RYLLw7dFLS https://t.co/XkUsCBibW9",https://x.com/broadcom/status/2057573069586153826,0,3,5,0,true,false,,2026-06-12T17:02:23.969041+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/070_broadcom/accounts/01_primary_broadcom,@broadcom,https://x.com/broadcom,primary,1
