fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
41,Dell Technologies,@Dell,2065495576733430146,Fri Jun 12 18:04:55 +0000 2026,"What if breakthroughs in climate science, medicine and clean energy took years rather than decades?  
That's the mission behind our work with @AMD and the @Cambridge_Uni. Together, we're building the AI infrastructure to make it real — from the Zenith AI supercomputer and the Sovereign AI Innovation Lab to Sunrise, the world's most powerful AI supercomputer dedicated to fusion research.
This is how AI moves from ambition to impact. Read the full story: https://t.co/tejKi5kvrn",https://x.com/Dell/status/2065495576733430146,0,1,10,0,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2065435200364970246,Fri Jun 12 14:05:00 +0000 2026,"We’re honored the new Dell XPS 13 has been awarded “Best in Show” by @XDADevelopers at Computex 2026. ​
Dell XPS 13 reflects our focus on thoughtful design and reliable performance - razor-thin, featherlight and featuring a smooth 120Hz display built for how you work and move.",https://x.com/Dell/status/2065435200364970246,1,1,16,0,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2065094262593663033,Thu Jun 11 15:30:14 +0000 2026,"Why shift from HCI to disaggregation?
✅Faster patching
✅Better efficiency
✅Supply chain flexibility
✅Lower TCO
But things have changed Find out how in episode 7 of Storage Simplified with @JessTechSpice: https://t.co/SXv3EJrRJL https://t.co/pr8C07aD5Q",https://x.com/Dell/status/2065094262593663033,3,2,18,0,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2064726028950307167,Wed Jun 10 15:07:00 +0000 2026,"AI transformation doesn’t start with experiments. It starts with leadership. At #DellTechWorld, @MichaelDell shared a clear message:
➡️ Don’t start small. Go after the biggest processes in your business. The companies moving fastest into AI aren’t just adopting new tools—they’re rethinking how work gets done, end to end.

And the fastest path forward?
Find your super users. Empower them. Scale what works.

🎥 Watch the full conversation with @siliconangle & @theCUBE: https://t.co/bSqvF2WHFG",https://x.com/Dell/status/2064726028950307167,2,3,55,1,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2064361877371850811,Tue Jun 09 15:00:00 +0000 2026,"The moments that change everything demand technology that's ready for anything. Dell XPS meets the moment with premium craftsmanship, ultra-thin portability, and powerful performance. ​

Discover what's next. 👀 @DisclosureDay only in theaters 06.12.26",https://x.com/Dell/status/2064361877371850811,7,8,22,1,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2062976186213437531,Fri Jun 05 19:13:45 +0000 2026,"As part of Project Glasswing, we’re using @AnthropicAI’s Mythos Preview to find and fix vulnerabilities in our products, strengthening our secure development and response practices to help customers stay resilient.

Read more 🔗 https://t.co/MFKfIZg1hU",https://x.com/Dell/status/2062976186213437531,9,4,43,3,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2062533355720134799,Thu Jun 04 13:54:06 +0000 2026,"Meet the design behind the details. The Dell XPS 13 is our thinnest and lightest laptop yet. Powerful enough to keep up with your day 💻 The new XPS 13 is built to move with you, not slow you down. Learn more:",https://x.com/Dell/status/2062533355720134799,16,14,65,1,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2062270606473666896,Wed Jun 03 20:30:02 +0000 2026,"When visionary storytelling meets cutting edge tech, creativity comes to life.🎨 With Dell Pro Max workstations, Orbital cut previsualization time in half, and unlocked new creative possibilities. Watch the behind-the-scenes video:🎥: https://t.co/wYvWhV4RUc https://t.co/qbzOuSz7hZ",https://x.com/Dell/status/2062270606473666896,4,6,39,0,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2062225300247744649,Wed Jun 03 17:30:00 +0000 2026,Episode 6 of Storage Simplified with @JessTechSpice just  dropped. PowerStore Elite = speed + simplicity + scale Watch now ➡️ https://t.co/h9cdi5PkF8 https://t.co/qVY2i1ARNc,https://x.com/Dell/status/2062225300247744649,12,33,69,0,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
41,Dell Technologies,@Dell,2062203756360466883,Wed Jun 03 16:04:24 +0000 2026,"Some moments move fast. Only technology that’s ready can keep you ahead.​ Dell XPS is designed to match the pace of what matters most, wherever the story leads.​ Swipe to discover how Dell XPS meets the moment →​
@DisclosureDay only in theaters 06.12.26",https://x.com/Dell/status/2062203756360466883,2,18,88,2,true,false,,2026-06-12T21:18:58.631468+00:00,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/041_dell_technologies/accounts/01_primary_dell,@Dell,https://x.com/Dell,primary,1
