fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder,source_x_handle,source_x_url,account_role,account_index
25,Home Depot,@homedepot,2065453509160403297,Fri Jun 12 15:17:45 +0000 2026,Stop by FIFA Fan Festival™ at @LosAngelesFWC26 to experience Beckham's Backyard before the @USMNT opener. https://t.co/B60rEK1l0p,https://x.com/homedepot/status/2065453509160403297,2,0,3,0,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065169954907840960,Thu Jun 11 20:31:00 +0000 2026,"RT @HomeDepot: European friends, consider this your official invitation to experience a true American classic: a Home Depot hot dog after c…",https://x.com/homedepot/status/2065169954907840960,0,4,0,0,false,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065089146566107429,Thu Jun 11 15:09:54 +0000 2026,"European friends, consider this your official invitation to experience a true American classic: a Home Depot hot dog after completing your third trip back to the store of the weekend 🌭🧡 https://t.co/rX7qmS4Twe",https://x.com/homedepot/status/2065089146566107429,7,4,6,0,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2065051657000435809,Thu Jun 11 12:40:56 +0000 2026,"RT @MenInBlazers: CITY FUTSAL: A PILLAR OF THE GRASSROOTS GAME IN TEXAS ❤️

Meet the Mariel Brothers who are committed to building spaces t…",https://x.com/homedepot/status/2065051657000435809,0,3,0,0,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064834105519514060,Wed Jun 10 22:16:28 +0000 2026,"CITY FUTSAL: A PILLAR OF THE GRASSROOTS GAME IN TEXAS ❤️

Meet the Mariel Brothers who are committed to building spaces to play the beautiful game throughout North Texas.

Our final edition of DIY FC, presented by @HomeDepot, brings us to Dallas, where this family business has made an incredible impact to make the soccer more accessible for players of all ages with their state-of-the-art futsal facilities.",https://x.com/homedepot/status/2064834105519514060,1,3,23,1,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064391186773688757,Tue Jun 09 16:56:28 +0000 2026,RT @experiencecosm: We're proud to welcome @HomeDepot as the Exclusive Home Improvement Retail Sponsor of our FIFA World Cup 2026™ presenta…,https://x.com/homedepot/status/2064391186773688757,0,8,0,0,false,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2064385906459685301,Tue Jun 09 16:35:29 +0000 2026,"We're proud to welcome @HomeDepot as the Exclusive Home Improvement Retail Sponsor of our FIFA World Cup 2026™ presentations, bringing even more fan experiences to #SharedReality across 40 matches, including the Final.

The road to the FIFA World Cup 2026™ starts at Cosm. https://t.co/fmTlIND2E6",https://x.com/homedepot/status/2064385906459685301,7,8,14,0,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2063995888213565843,Mon Jun 08 14:45:41 +0000 2026,"RT @MenInBlazers: THE GAME NEVER LEAVES YOU ⚽️❤️

Meet Peter Mogg, the commissioner of Los Angeles' Over 60 Sunday soccer league. A league…",https://x.com/homedepot/status/2063995888213565843,0,6,0,0,false,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2063705214180548915,Sun Jun 07 19:30:39 +0000 2026,"THE GAME NEVER LEAVES YOU ⚽️❤️

Meet Peter Mogg, the commissioner of Los Angeles' Over 60 Sunday soccer league. A league that shines as an example of the love of the game and the camaraderie it brings. 

Part four of DIY FC, presented by @homedepot, brings us to Thousand Oaks, California, where this group has been playing together for over 50 years, and whose legacy will carry on as a place for players over 60 to play the beautiful game!",https://x.com/homedepot/status/2063705214180548915,0,6,79,1,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
25,Home Depot,@homedepot,2063697501337551254,Sun Jun 07 19:00:00 +0000 2026,"#ProductRecall Alert: Wyze Lab Solar Cam Pan Security Camera 
https://t.co/Ai0ERP4hkV",https://x.com/homedepot/status/2063697501337551254,5,3,6,0,true,false,,2026-06-12T16:38:44.491437+00:00,capped browser-based collection of observable public posts,15,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/01_primary_homedepot,@homedepot,https://x.com/homedepot,primary,1
