fortune_rank,company_name,official_x_handle,tweet_id,created_at,text,tweet_url,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,collected_at,collection_method,max_posts_cap,source_folder
39,Morgan Stanley,@morganstanley,2064791180056121581,Wed Jun 10 19:25:53 +0000 2026,"Private Credit Continues to Attract Investor Capital: Despite recent concerns surrounding the private credit      market, institutional investors remain committed to the asset class, with many continuing to allocate capital aggressively. 

Participants of the conference highlighted two key drivers behind this conviction. First, a strong secular demand, the long-term growth trajectory for private credit remains intact, supported by ongoing financing needs and evolving capital markets dynamics. Second, attractive return opportunities, recent volatility may have created an opportunity for investors to access higher yields and enhanced risk-adjusted returns.",https://x.com/morganstanley/status/2064791180056121581,2,0,1,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064765748208136313,Wed Jun 10 17:44:50 +0000 2026,"What potential risks are banks monitoring? Banks are closely tracking developments in the Middle East, particularly their potential impact on energy prices, which could put pressure on consumer spending and affect key domestic industries, including transportation and logistics.

Another area of focus is the equity market. A significant market pullback—especially one that meaningfully impacts the confidence and spending behavior of affluent consumers—could weigh on broader economic activity and business sentiment.",https://x.com/morganstanley/status/2064765748208136313,2,1,2,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064744148066816157,Wed Jun 10 16:19:00 +0000 2026,We're back for Day 2 of the U.S. Financials Conference. Follow this thread for key insights into today's discussions. 👇,https://x.com/morganstanley/status/2064744148066816157,5,5,14,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064617550609006954,Wed Jun 10 07:55:57 +0000 2026,"As AI demand surges, our Asia Energy Analyst Mayank Maheshwari discusses the new multi-trillion-dollar investment cycle to secure the power, fuels, grids and storage that keep modern life running. Tune into the latest Thoughts on the Market. https://t.co/FB866ihD89 https://t.co/4OdYe1NGNj",https://x.com/morganstanley/status/2064617550609006954,1,0,9,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064617135620436232,Wed Jun 10 07:54:18 +0000 2026,"The Head of our Europe and Asia Technology Team, Shawn Kim, explains how AI’s appetite for memory chips is boosting the cost of everything from data centers to smartphones, with consequences that may reach far beyond the tech industry. Tune into the latest Thoughts on the Market. https://t.co/xMYnk6CQXp",https://x.com/morganstanley/status/2064617135620436232,0,6,20,3,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064616880082481417,Wed Jun 10 07:53:17 +0000 2026,Trade policy is once again in the news with the announcement of new tariffs. Our Head of Public Policy Research Ariana Salvatore digs into why tariffs may not be a disruptive factor for markets this time. Tune into the latest Thoughts on the Market. https://t.co/RNg4kN9Ecv https://t.co/rEY2pulMwY,https://x.com/morganstanley/status/2064616880082481417,0,0,9,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064616485264245200,Wed Jun 10 07:51:43 +0000 2026,"Our Global Commodities Strategist Martijn Rats discusses why the restart of oil flows through the Strait of Hormuz may be slower, tighter and messier than the market expects. Tune into the latest Thoughts on the Market. https://t.co/EZBnVIBwEi https://t.co/z599FeQ5S2",https://x.com/morganstanley/status/2064616485264245200,1,1,7,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064436770800873897,Tue Jun 09 19:57:36 +0000 2026,"Closed-loop payment networks see potential advantages in a future of agentic commerce, particularly in fraud detection and dispute resolution given their direct relationships with both merchants and customers. As AI-driven agents scale, fraud attempts are increasing, reinforcing the importance of fraud controls. While adoption of fully agent-driven purchasing remains uncertain, some payment networks are positioning by extending protections, such as agent purchase coverage for errors, disputes and unintended transactions.",https://x.com/morganstanley/status/2064436770800873897,0,0,4,1,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064422275462357234,Tue Jun 09 19:00:00 +0000 2026,"Alternative asset managers see private credit as structurally sound, with systemic risk concerns overstated—especially in a healthy macro backdrop. Despite higher redemptions and softer near-term flows, underlying demand remains solid. Growth in private credit is expected to continue, particularly in investment-grade private credit, where clients are seeking incremental return without compromising quality.",https://x.com/morganstanley/status/2064422275462357234,2,0,4,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
39,Morgan Stanley,@morganstanley,2064418501046001667,Tue Jun 09 18:45:00 +0000 2026,"Day 1 of the U.S. Financials Conference is underway.

We'll be tracking the major themes, market perspectives, and industry trends discussed throughout the day. Follow this thread for updates. 👇",https://x.com/morganstanley/status/2064418501046001667,3,5,22,0,true,false,,2026-06-12T13:07:32.744625+00:00,capped browser-based collection of observable public posts,30,039_morgan_stanley
