candidate_type,threshold,post_level_positive_n,firm_period_nonzero_n,firm_period_nonzero_pct,primary_sample_nonzero_n,primary_sample_nonzero_pct,nonzero_company_n,nonzero_period_n,correlation_with_v1_hard_label,v2_only_share,consensus_share,recommended_use
humor_probability,0.4,67020,3764,99.9204,430,100.0,99,132,,,,lower_bound_sensitivity
humor_probability,0.45,64606,3752,99.6018,430,100.0,99,131,,,,lower_bound_sensitivity
humor_probability,0.5,59067,3726,98.9116,430,100.0,99,130,,,,primary_H1_IV
humor_probability,0.55,50105,3656,97.0534,427,99.3023,99,129,0.1734,,,upper_bound_sensitivity
humor_probability,0.6,37344,3510,93.1776,410,95.3488,99,128,0.311,,,upper_bound_sensitivity
aggressive_candidate_score,0.3,84,75,1.991,5,1.1628,36,51,0.942,0.0,100.0,exploratory
aggressive_candidate_score,0.4,82,73,1.9379,4,0.9302,34,51,0.8804,0.0,100.0,exploratory
aggressive_candidate_score,0.5,67,59,1.5662,3,0.6977,29,42,0.7428,0.0,100.0,primary_threshold
aggressive_candidate_score,0.6,13,12,0.3186,0,0.0,9,11,0.331,0.0,100.0,consistent_with_v1_floor
self_defeating_candidate_score,0.3,41,40,1.0619,4,0.9302,31,29,,0.0,100.0,exploratory_only_low_base_rate
self_defeating_candidate_score,0.4,40,39,1.0353,4,0.9302,31,29,,0.0,100.0,exploratory_only_low_base_rate
self_defeating_candidate_score,0.5,31,30,0.7964,3,0.6977,27,24,,0.0,100.0,exploratory_only_low_base_rate
self_defeating_candidate_score,0.6,2,2,0.0531,0,0.0,2,2,,0.0,100.0,exploratory_only_low_base_rate
