candidate_id,sampling_stratum,fortune_rank,company_name,source_x_handle,tweet_id,tweet_url,created_at,text,human_humor_presence,human_humor_type,assigned_coder,review_status,total_engagement,wendys_transfer_humor_presence,wendys_transfer_humor_type,full_chain_humor_presence,full_chain_humor_type,classifier_disagreement_flag,human_confidence,human_notes,reviewer_id
C00484,random_fortune_sample,90,Ingram Micro Holding,@IngramMicroInc,1998028607956893988,https://x.com/IngramMicroInc/status/1998028607956893988,Mon Dec 08 13:55:16 +0000 2025,Happy to announce that Ingram Micro UK won Platform Distributor of the Year at the 2025 Stockies awards for the 2nd year running!  🌟🌟#ingrammicro #ingrammicroUK https://t.co/WbuTG40Gld,,,coder2,pending,0,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00340,high_engagement_posts,44,Walt Disney,@Disney,1913072049897218152,https://x.com/Disney/status/1913072049897218152,Fri Apr 18 03:28:14 +0000 2025,"Star Wars is coming to MONOPOLY GO! on May 1! Get ready to immerse yourself in Tatooine treasures, the thrills of pod racing, and relive your favorite galactic moments in an all new crossover event! https://t.co/0dArRyuqEx",,,coder2,pending,1602,1,affiliative,humor,affiliative,0,,,
C00148,wendys_transfer_aggressive,93,USAA,@usaa,1530685366839255044,https://x.com/usaa/status/1530685366839255044,Sat May 28 23:00:04 +0000 2022,"Marine Corps Cpl Joe Coaxum experienced a personal connection with the USAA Poppy Wall of Honor in Washington, D.C., over Memorial Day weekend. He served as a TOW Gunner during the Gulf War, one of the many military conflicts in which Americans lost their lives. #PoppyInMemory https://t.co/K18UdnkTYx",,,coder2,pending,623,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C01179,random_fortune_sample,65,Caterpillar,@CaterpillarInc,1429145795484344327,https://x.com/CaterpillarInc/status/1429145795484344327,Sat Aug 21 18:18:04 +0000 2021,"Ask them anything! Now's your chance to ask a question to MotoGP star @jackmilleraus, and Thomas Murphy — winner of the 2019 European Operator Challenge. Drop your questions in the comments below 👇👇 and keep following our page for updates. https://t.co/eLwJwRL8fi",,,coder2,pending,20,1,affiliative,humor,self_enhancing,0,,,
C00738,humor_presence_uncertain,66,IBM,@ibm,2053837532144513376,https://x.com/ibm/status/2053837532144513376,Mon May 11 14:00:00 +0000 2026,"Welcome back to Tech Term of the Week!

This week's term → AI IDE - /ˌeɪˈaɪ ˌaɪːˈdiːˈiː/

Definition → short for artificial intelligence integrated development environment, this is a software development environment enhanced with AI capabilities to assist devs with tasks like code generation, debugging and testing in real time.

Why it matters → AI IDEs streamline the development process by automating repetitive tasks, surfacing intelligent suggestions, and helping developers move faster with fewer errors. Taken together, these capabilities help make development more efficient, collaborative, and accessible to a wider range of builders.",,,coder2,pending,42,0,non_humorous,humor,affiliative,1,,,
C01097,random_fortune_sample,44,Walt Disney,@Disney,2041942412122046808,https://x.com/Disney/status/2041942412122046808,Wed Apr 08 18:13:03 +0000 2026,RT @Fortnite: Anybody order pizza? https://t.co/qR3RGqDYDL,,,coder2,pending,2111,0,non_humorous,non_humor,not_applicable,0,,,
C00169,low_engagement_posts,100,Massachusetts Mutual Life,@massmutual,1388120209236676609,https://x.com/massmutual/status/1388120209236676609,Fri Apr 30 13:17:02 +0000 2021,"Last but certainly not least, consider paying for a private session with a financial professional. Your grad may be willing to share details, goals, and insecurities with a professional that they’d rather not share with friends or family. Find one here https://t.co/fXWhMnIOcD.",,,coder2,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C00718,wendys_transfer_aggressive,23,General Motors,@GM,1559231844012490757,https://x.com/GM/status/1559231844012490757,Mon Aug 15 17:33:35 +0000 2022,"What is the name of the training program set to help current #mfg employees evolve their skills as electrical systems continue to evolve and change?
#ManufacturingMonday",,,coder2,pending,21,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C01022,full_chain_aggressive,63,Capital One Financial,@CapitalOne,1722293419815370918,https://x.com/CapitalOne/status/1722293419815370918,Wed Nov 08 16:42:04 +0000 2023,"Hey besties! If you see ""try again"" after entering, it means you didn't win, but you can re-enter for a chance to win while supplies last. #TSxCapitalOne",,,coder2,pending,2976,1,affiliative,humor,aggressive,0,,,
C00793,high_engagement_posts,28,Verizon Communications,@Verizon,2011820123154182420,https://x.com/Verizon/status/2011820123154182420,Thu Jan 15 15:17:49 +0000 2026,"Yesterday, we did not meet the standard of excellence you expect and that we expect of ourselves. To help provide some relief to those affected, we will give you a $20 account credit that can be easily redeemed by logging into the myVerizon app. You will receive a text message when the credit is available. On average, this covers multiple days of service. Business customers will be contacted directly about their credits.

This credit isn’t meant to make up for what happened. No credit really can. But it’s a way of acknowledging your time and showing that this matters to us.

If you’re still having trouble connecting, please restart your device (power down and power back on). This is the fastest way to reconnect your phone to the network.

We are sorry for what you experienced and will continue to work hard day and night to provide the outstanding network and service that you expect from Verizon.",,,coder2,pending,21910,1,affiliative,humor,self_enhancing,0,,,
C00887,wendys_transfer_aggressive,89,Enterprise Products Partners,@EProd_Careers,1681713597683212288,https://x.com/EProd_Careers/status/1681713597683212288,Wed Jul 19 17:12:21 +0000 2023,Make the most of your talents in a fast-paced environment driven by people who strive for achievement. Join us at Enterprise Products. Apply now! https://t.co/v5yLsnoSC0 #TechnicianJobs,,,coder2,pending,0,1,aggressive,non_humor,not_applicable,1,,,
C00329,low_engagement_posts,79,TJX,@tjmaxx,813853686686482433,https://x.com/tjmaxx/status/813853686686482433,Tue Dec 27 21:06:54 +0000 2016,"@DrGuzmanRea 2/2 Therefore, merchandise purchased from a Marshalls would need to be returned to a Marshalls store.",,,coder2,pending,0,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00342,wendys_transfer_aggressive,77,AbbVie,@abbvie,1709600606539727069,https://x.com/abbvie/status/1709600606539727069,Wed Oct 04 16:05:22 +0000 2023,"[Image description: On-screen text reads, ""Discovery Research News. AbbVie drug discovery and preclinical data published in the journal Nature, in partnership with the Broad Institute and Calico Life Sciences. Click to read more.""]",,,coder2,pending,1,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00568,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1679824270325854209,https://x.com/EProd_Careers/status/1679824270325854209,Fri Jul 14 12:04:50 +0000 2023,"Enterprise Products is the name to know in energy…and we want to know more about what would make you a great Engineer, Project. Apply today! https://t.co/N2SBeSR35A #ProjectEngineer",,,coder2,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C01024,full_chain_aggressive,19,Centene,@centene,1967633862537908308,https://x.com/centene/status/1967633862537908308,Mon Sep 15 16:57:24 +0000 2025,It’s hard to focus on recovery if you’re worried about your next meal. Centene company @Trilliumchp provides 120 days of medically tailored meals after hospital discharge — customized to each member’s condition. https://t.co/XPokdvR3jh,,,coder2,pending,4,1,aggressive,humor,aggressive,0,,,
C00523,humor_presence_uncertain,39,Morgan Stanley,@morganstanley,1621229142904545281,https://x.com/morganstanley/status/1621229142904545281,Thu Feb 02 19:28:43 +0000 2023,What will 2023 bring for stocks? Investment Management’s Andrew Slimmon says the first half could surprise to the upside and to watch value stocks and Asia ex-Japan for opportunities. https://t.co/UpA1PRIGLb,,,coder2,pending,24,1,affiliative,ambiguous,ambiguous_or_review,0,,,
